# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
6.20499833,-44.35921427,23.11677957,-2.66014129,-0.17408192,1.58237400,1.58237400
6.30507895,-44.44855053,23.07113262,-2.69459582,-0.44891148,1.58237400,1.58237400
6.40515957,-44.54006582,23.03008721,-2.74999596,-0.57253779,1.58237400,1.58237400
6.50524018,-44.63389879,22.99459813,-2.80919569,-0.58381896,1.58237400,1.58237400
6.60532080,-44.72963318,22.96464756,-2.86685389,-0.56383615,1.58237400,1.58237400
6.70540142,-44.82684941,22.94021179,-2.92205383,-0.49482215,1.58237400,1.58237400
6.80548204,-44.92512207,22.92102710,-2.96589810,-0.32532529,1.58237400,1.58237400
6.90556266,-45.02398700,22.90521495,-2.98717135,-0.08333573,1.58237400,1.58237400
7.00564328,-45.12296400,22.89023092,-2.98257868,0.15853660,1.58237400,1.58237400
7.10572389,-45.22157283,22.87352852,-2.95543846,0.30559317,1.58237400,1.58237400
7.20580451,-45.31946010,22.85322388,-2.92141078,0.29869498,1.58237400,1.58237400
7.30588513,-45.41673494,22.82984921,-2.89565131,0.20216849,1.58237400,1.58237400
7.40596575,-45.51361188,22.80448730,-2.88094448,0.09194639,1.58237400,1.58237400
7.50604637,-45.61030542,22.77822093,-2.87724721,-0.01475376,1.58237400,1.58237400
7.60612699,-45.70703010,22.75213287,-2.88389761,-0.09643392,1.58237400,1.58237400
7.70620760,-45.80397752,22.72717768,-2.89654954,-0.13124378,1.58237400,1.58237400
7.80628822,-45.90120789,22.70357513,-2.91016753,-0.13421699,1.58237400,1.58237400
7.90636884,-45.99873472,22.68128371,-2.92341458,-0.13043525,1.58237400,1.58237400
8.00644946,-46.09657148,22.66026162,-2.93627561,-0.12651163,1.58237400,1.58237400
8.10653008,-46.19473161,22.64046705,-2.94873730,-0.11807963,1.58237400,1.58237400
8.20661069,-46.29322849,22.62185796,-2.95991058,-0.08869784,1.58237400,1.58237400
8.30669131,-46.39201668,22.60422423,-2.96649117,-0.02867565,1.58237400,1.58237400
8.40677193,-46.49088761,22.58688943,-2.96565033,0.04760677,1.58237400,1.58237400
8.50685255,-46.58960464,22.56909693,-2.95696214,0.12626750,1.58237400,1.58237400
8.60693317,-46.68793113,22.55009009,-2.94037647,0.20556468,1.58237400,1.58237400
8.70701379,-46.78563043,22.52911228,-2.91581606,0.28380741,1.58237400,1.58237400
8.80709440,-46.88246591,22.50540685,-2.88356923,0.34330846,1.58237400,1.58237400
8.90717502,-46.97822925,22.47828426,-2.84709901,0.36140806,1.58237400,1.58237400
9.00725564,-47.07295460,22.44762912,-2.81122934,0.34655835,1.58237400,1.58237400
9.10733626,-47.16679929,22.41361777,-2.77773147,0.32210938,1.58237400,1.58237400
9.20741688,-47.25992161,22.37642881,-2.74675553,0.29663296,1.58237400,1.58237400
9.30749750,-47.35247985,22.33624084,-2.71835705,0.27738642,1.58237400,1.58237400
9.40757811,-47.44462340,22.29322822,-2.69123352,0.27970418,1.58237400,1.58237400
9.50765873,-47.53619177,22.24741649,-2.66237111,0.30686064,1.58237400,1.58237400
9.60773935,-47.62664179,22.19864749,-2.62981192,0.34581696,1.58237400,1.58237400
9.70781997,-47.71540660,22.14675171,-2.59315196,0.38849633,1.58237400,1.58237400
9.80790059,-47.80191934,22.09155960,-2.55205001,0.43470910,1.58237400,1.58237400
9.90798120,-47.88561316,22.03290165,-2.50614005,0.48460082,1.58237400,1.58237400
10.00806182,-47.96592122,21.97060832,-2.45505171,0.53806158,1.58237400,1.58237400
10.10814244,-48.04227664,21.90451008,-2.39844098,0.59461071,1.58237400,1.58237400
10.20822306,-48.11411259,21.83443741,-2.33603370,0.65326300,1.58237400,1.58237400
10.30830368,-48.18086220,21.76022077,-2.26768305,0.71224904,1.58237400,1.58237400
10.40838430,-48.24195862,21.68169064,-2.19346905,0.75754291,1.58237400,1.58237400
10.50846491,-48.29683944,21.59868170,-2.11605232,0.75693267,1.58237400,1.58237400
10.60854553,-48.34528462,21.51135345,-2.04196047,0.70328303,1.58237400,1.58237400
10.70862615,-48.38765388,21.42041538,-1.97528232,0.62991080,1.58237400,1.58237400
10.80870677,-48.42436302,21.32663020,-1.91587675,0.56059240,1.58237400,1.58237400
10.90878739,-48.45582783,21.23076060,-1.86307345,0.50220810,1.58237400,1.58237400
11.00886801,-48.48245908,21.13355228,-1.81535415,0.46088510,1.58237400,1.58237400
11.10894862,-48.50457306,21.03543034,-1.77082212,0.43280468,1.58237400,1.58237400
11.20902924,-48.52240188,20.93653436,-1.72872343,0.40840107,1.58237400,1.58237400
11.30910986,-48.53617471,20.83699396,-1.68907606,0.38386545,1.58237400,1.58237400
11.40919048,-48.54612071,20.73693875,-1.65188845,0.35938740,1.58237400,1.58237400
11.50927110,-48.55246906,20.63649833,-1.61714063,0.33521599,1.58237400,1.58237400
11.60935171,-48.55544892,20.53580231,-1.58479120,0.31153335,1.58237400,1.58237400
11.70943233,-48.55528946,20.43498031,-1.55478373,0.28846165,1.58237400,1.58237400
11.80951295,-48.55221986,20.33416193,-1.52705236,0.26607108,1.58237400,1.58237400
11.90959357,-48.54646927,20.23347678,-1.50152662,0.24440666,1.58237400,1.58237400
12.00967419,-48.53826688,20.13305447,-1.47813162,0.22507322,1.58237400,1.58237400
12.10975481,-48.52784102,20.03302399,-1.45647568,0.21226695,1.58237400,1.58237400
12.20983542,-48.51534930,19.93346104,-1.43564401,0.20702548,1.58237400,1.58237400
12.30991604,-48.50082473,19.83434746,-1.41503720,0.20489792,1.58237400,1.58237400
12.40999666,-48.48428769,19.73565558,-1.39463139,0.20272939,1.58237400,1.58237400
12.51007728,-48.46575855,19.63735772,-1.37445864,0.20024763,1.58237400,1.58237400
12.61015790,-48.44525766,19.53942620,-1.35454957,0.19762450,1.58237400,1.58237400
12.71023852,-48.42280540,19.44183334,-1.33490187,0.20679974,1.58237400,1.58237400
12.81031913,-48.39841646,19.34455465,-1.31315628,0.25946739,1.58237400,1.58237400
12.91039975,-48.37167969,19.24780504,-1.28296656,0.36643440,1.58237400,1.58237400
13.01048037,-48.34146996,19.15220085,-1.23981032,0.49797789,1.58237400,1.58237400
13.11056099,-48.30659390,19.05839674,-1.18329069,0.57909481,1.58237400,1.58237400
